CSsig	SBSsig	Spearman	pVal	pAdj
CX7	SBS69	0.03741	0.1033	0.29
CX7	SBS70	-0.07351	0.001351	0.0167156
CX7	SBS71	-0.01065	0.6428	0.810486956521739
CX7	SBS72	-0.00632	0.7832	0.911584905660377
CX7	SBS73	0.01848	0.4211	0.718347058823529
CX7	SBS74	0.02158	0.3474	0.67164
CX7	SBS75	0.07427	0.001205	0.0167156
CX7	SBS76	-0.004906	0.8309	0.911584905660377
CX7	SBS77	0.002357	0.9183	0.953438596491228
CX7	SBS78	-0.01105	0.6305	0.810486956521739
CX7	SBS79	0.01853	0.4198	0.718347058823529
CX7	SBS80	-0.0134	0.5596	0.810486956521739
CX7	SBS81	-0.02549	0.267	0.553071428571429
CX7	SBS82	0.01923	0.4024	0.718347058823529
CX7	SBS83	NA	NA	NA
CX8	SBS1	-0.1198	1.651e-07	2.39395e-06
CX8	SBS2	0.05155	0.0247	0.0494
CX8	SBS3	0.06315	0.005917	0.0201874117647059
CX8	SBS4	0.06566	0.004212	0.0174497142857143
CX8	SBS5	0.03049	0.1843	0.22714693877551
CX8	SBS6	0.004295	0.8517	0.8517
CX8	SBS7a	0.02906	0.2056	0.238496
CX8	SBS7b	0.03077	0.1803	0.22714693877551
CX8	SBS7c	0.01978	0.3891	0.425807547169811
CX8	SBS8	-0.09697	2.32e-05	0.0001682
CX8	SBS9	-0.05681	0.01331	0.033564347826087
CX8	SBS10a	-0.02997	0.1919	0.22714693877551
CX8	SBS11	-0.01729	0.4515	0.476127272727273
CX8	SBS12	-0.04339	0.05877	0.106520625
CX8	SBS13	0.1431	3.814e-10	2.21212e-08
CX8	SBS14	-0.06456	0.004897	0.017751625
CX8	SBS15	-0.06687	0.003561	0.0158875384615385
CX8	SBS16	0.1099	1.577e-06	1.52443333333333e-05
CX8	SBS17a	0.08438	0.000233	0.00122854545454545
CX8	SBS17b	0.1255	4.094e-08	1.18726e-06
CX8	SBS18	0.04192	0.06789	0.115812352941176
CX8	SBS19	-0.01177	0.6082	0.618870175438596
CX8	SBS21	-0.05456	0.01744	0.0402653846153846
CX8	SBS22	0.08571	0.0001852	0.00107416
CX8	SBS26	-0.05972	0.009264	0.0269207
CX8	SBS28	0.05173	0.02421	0.0494
CX8	SBS30	-0.02492	0.2779	0.316043137254902
CX8	SBS33	0.03948	0.08553	0.141735428571429
CX8	SBS35	0.05449	0.01759	0.0402653846153846
CX8	SBS36	0.05023	0.02866	0.0554093333333333
CX8	SBS37	-0.1231	7.473e-08	1.44478e-06
CX8	SBS38	0.0449	0.05047	0.0944277419354839
CX8	SBS39	0.03808	0.09724	0.15243027027027
CX8	SBS40	-0.03496	0.1278	0.190061538461538
CX8	SBS60	NA	NA	NA
CX8	SBS55	0.03162	0.1685	0.22714693877551
CX8	SBS44	-0.0597	0.009283	0.0269207
CX8	SBS61	-0.02997	0.1919	0.22714693877551
CX8	SBS62	-0.02997	0.1919	0.22714693877551
CX8	SBS63	-0.06689	0.00355	0.0158875384615385
CX8	SBS64	-0.05427	0.01805	0.0402653846153846
CX8	SBS65	0.03327	0.1474	0.208517073170732
CX8	SBS66	-0.02997	0.1919	0.22714693877551
CX8	SBS67	0.01758	0.4439	0.476127272727273
CX8	SBS68	0.03849	0.09367	0.150912777777778
CX8	SBS69	0.09781	1.966e-05	0.000162897142857143
CX8	SBS70	-0.02392	0.2977	0.33205
CX8	SBS71	0.01479	0.5195	0.538053571428571
CX8	SBS72	-0.05378	0.01912	0.0410725925925926
CX8	SBS73	-0.06493	0.004657	0.017751625
CX8	SBS74	-0.05974	0.009236	0.0269207
CX8	SBS75	0.03507	0.1267	0.190061538461538
CX8	SBS76	-0.05716	0.01275	0.033564347826087
CX8	SBS77	0.04224	0.06577	0.115595757575758
CX8	SBS78	-0.02997	0.1919	0.22714693877551
CX8	SBS79	-0.05719	0.0127	0.033564347826087
CX8	SBS80	-0.1151	4.928e-07	5.71648e-06
CX8	SBS81	0.0928	5.147e-05	0.000331695555555556
CX8	SBS82	-0.03372	0.142	0.2059
CX8	SBS83	NA	NA	NA
CX9	SBS1	-0.00196	0.932	0.948350877192983
CX9	SBS2	0.04387	0.05601	0.147662727272727
CX9	SBS3	-0.05167	0.02438	0.0673352380952381
CX9	SBS4	0.1508	3.99e-11	3.857e-10
CX9	SBS5	-0.08213	0.0003412	0.00164913333333333
CX9	SBS6	0.01968	0.3915	0.483127659574468
CX9	SBS7a	0.01981	0.3885	0.483127659574468
CX9	SBS7b	0.02086	0.3637	0.483127659574468
CX9	SBS7c	0.02682	0.2429	0.40252
CX9	SBS8	-0.1247	5.055e-08	3.25766666666667e-07
CX9	SBS9	-0.1757	1.256e-14	1.45696e-13
CX9	SBS10a	-0.01977	0.3893	0.483127659574468
CX9	SBS11	0.02986	0.1935	0.3741
CX9	SBS12	-0.08995	8.703e-05	0.000458885454545455
CX9	SBS13	0.1867	2.355e-16	6.8295e-15
CX9	SBS14	-0.02936	0.2011	0.376251612903226
CX9	SBS15	-0.02728	0.2348	0.40252
CX9	SBS16	0.005307	0.8173	0.846489285714286
CX9	SBS17a	0.02689	0.2417	0.40252
CX9	SBS17b	0.08089	0.0004197	0.00187250769230769
CX9	SBS18	-0.01607	0.484	0.564572
CX9	SBS19	-0.0619	0.006985	0.025712125
CX9	SBS21	-0.0344	0.1341	0.2682
CX9	SBS22	-0.06042	0.00847	0.0288976470588235
CX9	SBS26	-0.02053	0.3713	0.483127659574468
CX9	SBS28	-0.04233	0.06523	0.1513336
