CSsig	SBSsig	Spearman	pVal	pAdj
CX8	ID27	-0.06217	0.006741	0.0115112941176471
CX8	ID28	-0.0691	0.002594	0.00688090909090909
CX8	ID29	0.00747	0.745	0.771607142857143
CX8	ID30	-0.06225	0.00667	0.0115112941176471
CX8	ID31	-0.06105	0.007806	0.0125763333333333
CX8	ID32	0.01501	0.5133	0.551322222222222
CX9	ID1	0.1729	3.346e-14	4.8517e-13
CX9	ID2	0.2097	2.607e-20	7.5603e-19
CX9	ID3	0.02519	0.2728	0.52345
CX9	ID4	0.106	3.663e-06	1.51752857142857e-05
CX9	ID5	0.01677	0.4652	0.539632
CX9	ID6	0.1089	1.986e-06	9.599e-06
CX9	ID7	0.01874	0.4144	0.527195833333333
CX9	ID8	-0.01063	0.6436	0.6436
CX9	ID9	0.09552	3.068e-05	0.000111215
CX9	ID10	0.1268	2.997e-08	1.73826e-07
CX9	ID11	0.01152	0.6161	0.638103571428571
CX9	ID12	0.132	7.877e-09	5.710825e-08
CX9	ID13	0.03029	0.1872	0.462308333333333
CX9	ID14	0.1417	5.639e-10	5.45103333333333e-09
CX9	ID18	-0.02449	0.2862	0.52345
CX9	ID19	0.0331	0.1495	0.43355
CX9	ID20	-0.01801	0.4329	0.527195833333333
CX9	ID21	-0.02032	0.3762	0.527195833333333
CX9	ID22	-0.01358	0.5543	0.595359259259259
CX9	ID23	-0.01359	0.554	0.595359259259259
CX9	ID24	-0.02444	0.2873	0.52345
CX9	ID25	-0.01797	0.4338	0.527195833333333
CX9	ID26	-0.01805	0.4319	0.527195833333333
CX9	ID27	-0.01807	0.4315	0.527195833333333
CX9	ID28	-0.02436	0.2888	0.52345
CX9	ID29	0.02078	0.3656	0.527195833333333
CX9	ID30	-0.01788	0.4363	0.527195833333333
CX9	ID31	-0.07463	0.001138	0.00366688888888889
CX9	ID32	0.03001	0.1913	0.462308333333333
CX10	ID1	0.1007	1.109e-05	6.4322e-05
CX10	ID2	0.1348	3.748e-09	5.4346e-08
CX10	ID3	0.01861	0.4178	0.448748148148148
CX10	ID4	0.06739	0.003311	0.0106687777777778
CX10	ID5	0.07298	0.001465	0.005310625
CX10	ID6	0.1081	2.355e-06	1.707375e-05
CX10	ID7	0.03228	0.1598	0.185368
CX10	ID8	-0.009472	0.68	0.704285714285714
CX10	ID9	0.09791	1.929e-05	9.3235e-05
CX10	ID10	0.07328	0.0014	0.005310625
CX10	ID11	0.008183	0.7216	0.7216
CX10	ID12	0.1568	6.508e-12	1.88732e-10
CX10	ID13	0.05479	0.01698	0.0447654545454545
CX10	ID14	0.1221	9.45e-08	9.135e-07
CX10	ID18	-0.04656	0.04255	0.0882428571428572
CX10	ID19	0.05692	0.01313	0.038077
CX10	ID20	-0.04113	0.07324	0.1076915
CX10	ID21	-0.04477	0.05114	0.0988706666666667
CX10	ID22	-0.03898	0.08957	0.118069545454545
CX10	ID23	-0.03898	0.08957	0.118069545454545
CX10	ID24	-0.04655	0.0426	0.0882428571428572
CX10	ID25	-0.04105	0.07379	0.1076915
CX10	ID26	-0.04113	0.07324	0.1076915
CX10	ID27	-0.04098	0.07427	0.1076915
CX10	ID28	-0.04658	0.04246	0.0882428571428572
CX10	ID29	0.03544	0.1227	0.154708695652174
CX10	ID30	-0.04098	0.07427	0.1076915
CX10	ID31	-0.02342	0.3079	0.343426923076923
CX10	ID32	0.03259	0.1559	0.185368
CX11	ID1	0.1437	3.19e-10	4.6255e-09
CX11	ID2	0.1413	6.358e-10	6.14606666666667e-09
CX11	ID3	0.03227	0.1599	0.272770588235294
CX11	ID4	0.0671	0.003451	0.014297
CX11	ID5	0.04066	0.07658	0.15863
CX11	ID6	0.09025	8.239e-05	0.00042775
CX11	ID7	0.05339	0.02001	0.0483575
CX11	ID8	0.003522	0.8781	0.8781
CX11	ID9	0.08986	8.85e-05	0.00042775
CX11	ID10	0.05446	0.01766	0.0465581818181818
CX11	ID11	-0.03648	0.1121	0.216726666666667
CX11	ID12	0.1516	3.158e-11	9.1582e-10
CX11	ID13	0.05234	0.0226	0.0504153846153846
CX11	ID14	0.1319	7.988e-09	5.7913e-08
CX11	ID18	0.01178	0.6081	0.653144444444445
CX11	ID19	0.05621	0.01432	0.043268
CX11	ID20	0.01696	0.4602	0.5586125
CX11	ID21	0.008876	0.6992	0.724171428571429
CX11	ID22	0.02277	0.3215	0.491473684210526
CX11	ID23	0.02275	0.322	0.491473684210526
CX11	ID24	0.01198	0.6019	0.653144444444445
CX11	ID25	0.01694	0.4607	0.5586125
CX11	ID26	0.01688	0.4623	0.5586125
CX11	ID27	0.01692	0.4613	0.5586125
CX11	ID28	0.0118	0.6073	0.653144444444445
CX11	ID29	0.05587	0.01492	0.043268
CX11	ID30	0.01707	0.4574	0.5586125
CX11	ID31	-0.03484	0.1292	0.234175
CX11	ID32	0.06313	0.005934	0.02151075
CX12	ID1	0.001846	0.9359	0.9971
CX12	ID2	-0.02117	0.3567	0.848335294117647
CX12	ID3	0.007949	0.7293	0.9971
CX12	ID4	-0.02183	0.3418	0.848335294117647
CX12	ID5	-0.02252	0.3268	0.848335294117647
CX12	ID6	-0.01559	0.4973	0.848335294117647
CX12	ID7	0.009571	0.6769	0.99122
CX12	ID8	0.06006	0.008864	0.257056
CX12	ID9	-0.03301	0.1505	0.848335294117647
CX12	ID10	-0.02793	0.2239	0.848335294117647
CX12	ID11	0.01185	0.606	0.976333333333333
CX12	ID12	0.03428	0.1354	0.848335294117647
CX12	ID13	-8.441e-05	0.9971	0.9971
CX12	ID14	-0.00936	0.6836	0.99122
CX12	ID18	0.002503	0.9132	0.9971
CX12	ID19	-0.0006508	0.9774	0.9971
CX12	ID20	0.01679	0.4648	0.848335294117647
CX12	ID21	-0.004134	0.8572	0.9971
CX12	ID22	0.022	0.3381	0.848335294117647
CX12	ID23	0.022	0.3382	0.848335294117647
CX12	ID24	0.002462	0.9146	0.9971
CX12	ID25	0.01668	0.4677	0.848335294117647
CX12	ID26	0.01659	0.47	0.848335294117647
CX12	ID27	0.01667	0.4679	0.848335294117647
CX12	ID28	0.002406	0.9166	0.9971
CX12	ID29	0.006934	0.7627	0.9971
CX12	ID30	0.01642	0.4746	0.848335294117647
CX12	ID31	0.02579	0.2615	0.848335294117647
CX12	ID32	0.01783	0.4374	0.848335294117647
CX13	ID1	0.07998	0.0004875	0.00201964285714286
CX13	ID2	0.1681	1.711e-13	2.48095e-12
CX13	ID3	0.04155	0.07036	0.0927472727272727
CX13	ID4	0.1237	6.477e-08	4.695825e-07
CX13	ID5	0.04839	0.03501	0.0483471428571429
CX13	ID6	0.09504	3.363e-05	0.000162545
CX13	ID7	-0.01135	0.6211	0.667107407407407
CX13	ID8	-0.03522	0.1251	0.157734782608696
CX13	ID9	0.1307	1.109e-08	1.07203333333333e-07
CX13	ID10	0.09642	2.578e-05	0.000149524
CX13	ID11	-0.0004533	0.9843	0.9843
CX13	ID12	0.1717	4.967e-14	1.44043e-12
CX13	ID13	0.01136	0.6208	0.667107407407407
CX13	ID14	0.06952	0.002442	0.00786866666666667
CX13	ID18	-0.05952	0.009499	0.0229559166666667
