CX1	CX2	CX3	CX4	CX5	CX6	CX7	CX8	CX9	CX10	CX11	CX12	CX13	CX14	CX15	CX16	CX17
TCGA-05-4426	5.195	21.97	0	20.69	8.635	0	6.782	2.093	0	0	0	0.4294	0	0	0	0	0
TCGA-05-4427	3.595	0	37.64	16.14	2.727	3.712	1.206	21.38	4.27	0	0.6815	0	0	0	0	0	0
TCGA-05-4432	3.748	48.58	17.91	28.02	10.39	4.082	0	18.73	0	0	0	0	0	0	24.31	0.6404	0
TCGA-05-4433	5.003	15.32	4.654	7.093	4.715	0.2249	2.697	0	0	0	0	0	1.509	0	0	0	9.95
TCGA-05-5423	5.29	8.603	2.438	2.83	0	2.121	0	3.531	4.176	2.603	0	0	0.3457	2.872	0	0.6415	5.351
TCGA-05-5428	3.071	4.709	45.57	15.19	7.532	1.801	10.29	7.137	6.29	0	0.8453	0	0	0	0	0	0
TCGA-05-5429	5.341	3.905	0	0.9952	0	6.272	16.68	0	0	0	0	0	0	0	8.946	0	0
TCGA-05-5715	4.64	62.71	0	7.255	5.261	0	0	0	0	0	0	0	0	0	22.41	2.977	0
TCGA-06-0125-e	4.756	17.91	11.68	0	0.3021	0	0	0	0	3.412	0.747	0	1.748	0	0	0	0
TCGA-06-0126-a	5.367	14.47	0	0	0.3505	0	2.178	0	0	0	2.284	0	0.3925	17.11	0	0	9.176
TCGA-06-0127	5.356	14.69	0	7.077	2.785	0.3195	4.597	0	0	1.22	1.064	0.6029	1.611	0	0	0	0
TCGA-06-0128-d	5.426	0	0	0	0	0	3.001	0	0	0	0	0	0.8741	15.98	6.858	0	0
TCGA-06-0129-c	5.109	40.06	0	7.302	6.645	1.368	10.66	0	0	0	3.518	0.8267	14.39	0	0	0	0
TCGA-06-0133	5.381	4.805	0	11.81	0.9077	1.936	0	0	0	0	0	0	1.741	0	6.184	0	0
TCGA-06-0137	5.27	24.84	0	0	2.844	0	0.8706	0	0	0	0	0.326	3.481	0	3.084	0	0
TCGA-06-0138-a	5.43	9.276	0	0	2.363	1.521	4.768	0	5.252	2.41	3.54	0	10.72	0	0	0	0
TCGA-06-0145	4.759	35.58	9.207	0	0.4957	0	0	0	1.578	1.389	0	0	1.962	0	0	0	0
TCGA-06-0148-a	4.454	33.33	14.71	0	0	0.4673	0.7272	0	0	2.586	1.263	0	3.512	3.09	3.555	0	0
TCGA-06-0150	5.423	13.74	0	0	1.365	0	0.7086	0	0	0	0	0.2229	3.474	6.222	0	0	0
TCGA-06-0151	5.435	15.86	0	7.607	0	3.467	0	0	0	0	0	0.06705	0	0	0	0	0
TCGA-06-0152-b	5.341	0.9206	0	23.02	3.954	5.824	0	10.85	1.027	1.611	3.048	0	12.03	0	0	0	5.435
TCGA-06-0154-b	5.086	51.74	0	1.856	2.066	0	2.399	0	3.824	0	3.17	0.1615	4.216	0	0	0	0
TCGA-06-0155	5.422	8.805	0	0	2.425	0	2.797	3.418	0	0	0.1695	0	0.2594	1.954	0	0	0
TCGA-06-0157	5.233	20.31	1.583	0	0.9878	0	0	0	0	0	0	0.4959	4.561	0	2.85	0	0
TCGA-06-0158	5.333	19.08	0	0	0.6324	0.2584	1.14	0	0	0	0	0.3476	3.27	0	0	0.5941	5.912
TCGA-06-0159	5.437	4.21	0	13.94	0	7.306	2.209	1.488	6.18	0	0	0	0	0	0	5.826	0
