"signature"	"gene"	"rho"	"p.value"	"q.value"
"CX2"	"MNAT1"	"-0.0348312682554861"	"0.0122248601302853"	0.0244497202605706
"CX2"	"COPS4"	"-0.033977976172042"	"0.0145186345392294"	0.0288268540851366
"CX2"	"RFC2"	"0.033618183016197"	"0.0155943856382187"	0.0307400119774959
"CX2"	"MCRS1"	"0.0332626273775216"	"0.0167257261419446"	0.0327346354492344
"CX2"	"RAD23A"	"0.0330464909922223"	"0.0174481164300221"	0.033906268807277
"CX2"	"NFRKB"	"-0.0325857088413103"	"0.0190800569924341"	0.0366824931659724
"CX2"	"PAXIP1"	"-0.0325682276830549"	"0.0191445128566936"	0.0366824931659724
"CX2"	"RPS27A"	"-0.0325246367968237"	"0.0193060690023987"	0.0367351590740086
"CX2"	"ERCC1"	"-0.0324477304453641"	"0.0195940043679874"	0.0369674792768462
"CX2"	"TERF1"	"0.0324201961422053"	"0.0196979999066407"	0.0369674792768462
"CX2"	"SUMO2"	"0.0323243407379398"	"0.0200638086030063"	0.0373978473280526
"CX2"	"ISY1"	"0.0330049711550902"	"0.020288030734813"	0.0375602731171538
"CX2"	"POLR2A"	"0.0319648494477601"	"0.0214890293129011"	0.0395167384680195
"CX2"	"APBB1"	"-0.0317181361996372"	"0.0225174083282456"	0.040859403191651
"CX2"	"XAB2"	"-0.0317261729917437"	"0.0224832462831785"	0.040859403191651
"CX2"	"UBE2I"	"-0.0313846776052797"	"0.0239751725761285"	0.0432184031964422
"CX2"	"POLE4"	"0.0311980282629382"	"0.0248263242662787"	0.0444602146990873
"CX2"	"DCLRE1A"	"0.0308066071781898"	"0.0266965820698829"	0.0474991135529085
"CX2"	"POLD2"	"0.0307088619686599"	"0.0271821763928659"	0.0480510731073888
"CX2"	"MAPK8"	"0.0309747072102016"	"0.0289405148399721"	0.0508314170907202
"CX2"	"ERCC3"	"0.0300815908776969"	"0.0304834372525192"	0.0532003936763711
"CX2"	"POLR2C"	"-0.02995767735675"	"0.0311748017412746"	0.05406263086778
"CX2"	"POLE2"	"0.0298515374357511"	"0.0317776540872128"	0.0547614919490334
"CX2"	"APEX1"	"-0.0295820171094311"	"0.0333535501467008"	0.0571179546262251
"CX2"	"ASCC1"	"0.0292253310073737"	"0.0355415066117307"	0.0604867876497777
"CX2"	"POLM"	"-0.028720161867085"	"0.0388489566629111"	0.0657074946027015
"CX2"	"RAD9B"	"0.0276514500908217"	"0.0467141262981855"	0.0785255865380542
"CX2"	"PRPF19"	"0.027396817997628"	"0.0487740969474209"	0.081488430265813
"CX2"	"ACTR5"	"0.0278241322652441"	"0.0492106999644749"	0.0817195866076735
"CX2"	"TDG"	"0.0272541620627311"	"0.0499611403109232"	0.0824659785854997
"CX2"	"ERCC4"	"-0.0269721054655127"	"0.0523794745198913"	0.0859399761583845
"CX2"	"RFC5"	"0.0268268701305182"	"0.0536623995321908"	0.0875208182846445
"CX2"	"SMARCA5"	"0.0266701134877976"	"0.0550764224947671"	0.0892955015595632
"CX2"	"TIPIN"	"0.0264767973051275"	"0.0568628576630388"	0.0916495470568978
"CX2"	"CETN2"	"-0.0269311035677514"	"0.0597373267831591"	0.0957194592899742
"CX2"	"VCP"	"0.0259986351952786"	"0.0632740499460714"	0.100797033053625
"CX2"	"NBN"	"0.0248920706729974"	"0.0733985619598334"	0.116249745531759
"CX2"	"EP300"	"-0.0245848548074058"	"0.0770205558536707"	0.121285243125895
"CX2"	"SMUG1"	"0.0242867474676677"	"0.0806730850103019"	0.126311001673273
"CX2"	"ACTB"	"-0.0240657728594585"	"0.0834703134556855"	0.129948101629874
"CX2"	"TRIM25"	"0.0235436119214531"	"0.0903927073281304"	0.139929953716993
"CX2"	"FANCF"	"-0.0235044408931263"	"0.0909300966994497"	0.139971047728366
"CX2"	"CUL4A"	"-0.0233521448806124"	"0.0930439038154494"	0.142424746622531
"CX2"	"DTL"	"0.0230958491647141"	"0.0966900228752671"	0.146370531866426
"CX2"	"PIAS1"	"-0.0231301636727228"	"0.0961953326425069"	0.146370531866426
"CX2"	"COPS6"	"-0.022857096097144"	"0.100188523012641"	0.150833270909141
"CX2"	"UNG"	"0.0223255028610901"	"0.108340462116148"	0.162214680982648
"CX2"	"POLR2H"	"0.0221535392906606"	"0.111087044223818"	0.165423098463729
"CX2"	"MLH1"	"0.0218162507266813"	"0.11663352371689"	0.172743705396907
"CX2"	"HUS1"	"0.0212947826087468"	"0.125633918294966"	0.185073621574305
"CX2"	"POLE"	"0.0212120819313921"	"0.127109735966289"	0.18624635109499
"CX2"	"POLR2E"	"-0.0210369428509525"	"0.130279637741386"	0.189875642240105
"CX2"	"EME2"	"-0.0209588292056232"	"0.131713070365858"	0.190949107302884
"CX2"	"RHNO1"	"0.020786897260417"	"0.134911148868005"	0.194556077841228
"CX2"	"PPP4R2"	"0.0207197837532027"	"0.136175673960592"	0.195351490393729
"CX2"	"BABAM2"	"0.0204582581380928"	"0.141190648044245"	0.201386973639306
"CX2"	"MUS81"	"0.0204242606885368"	"0.14185286829338"	0.201386973639306
"CX2"	"WDR48"	"0.020297333403997"	"0.144346314125537"	0.203870567373181
"CX2"	"POLR2L"	"-0.0199737613601948"	"0.150854646816612"	0.211970119116675
"CX2"	"RPA1"	"0.0190879415935616"	"0.169814867075336"	0.237394252952255
"CX2"	"FANCM"	"0.0190135808923927"	"0.171484314705709"	0.23851117882926
"CX2"	"SPRTN"	"0.0189434493388414"	"0.173070041229564"	0.239500966145962
"CX2"	"FANCC"	"0.0188178723260219"	"0.17593676853803"	0.242244595876484
"CX2"	"CUL4B"	"-0.0190801310390014"	"0.182284832184678"	0.249730220093009
"CX2"	"MBD4"	"0.018455633346204"	"0.184404297943759"	0.251377003167114
"CX2"	"PMS2"	"0.0181067463313247"	"0.192841268533635"	0.261576770189188
"CX2"	"LIG3"	"0.0179145641996811"	"0.19760815523442"	0.26672233760705
"CX2"	"REV1"	"-0.0175355499130981"	"0.20726076958145"	0.278379661104497
"CX2"	"POLD4"	"-0.0174415344775792"	"0.209707203962952"	0.28029157993097
"CX2"	"UFD1"	"0.0174314331648503"	"0.212367425590769"	0.282469294232382
"CX2"	"GTF2H3"	"-0.0170505685912511"	"0.220104950308567"	0.291346649200712
"CX2"	"LIG4"	"-0.0168869608731858"	"0.224564096824237"	0.295820012162697
"CX2"	"ERCC2"	"-0.0167569138838484"	"0.228154302076678"	0.299111381669903
"CX2"	"RCHY1"	"-0.0166247224823161"	"0.231845409380298"	0.300119790876446
"CX2"	"REV3L"	"-0.0166033579899901"	"0.23244591467812"	0.300119790876446
"CX2"	"RNF168"	"0.0166792719599707"	"0.230317150159522"	0.300119790876446
"CX2"	"SPIDR"	"0.0165728688835246"	"0.233304800936799"	0.300119790876446
"CX2"	"KAT5"	"-0.0162377786537723"	"0.242892826694621"	0.310993619225823
"CX2"	"MGMT"	"-0.0158078245143568"	"0.255596247160878"	0.32573661266084
"CX2"	"UBE2N"	"-0.015731442050549"	"0.257900472878945"	0.327151525781625
"CX2"	"PCNA"	"0.015145147200386"	"0.276066762107315"	0.34858199455025
"CX2"	"BAZ1B"	"0.0150388950967592"	"0.279450148996405"	0.349631693264909
"CX2"	"PIAS3"	"-0.0159816561772331"	"0.279281870049087"	0.349631693264909
"CX2"	"INO80E"	"-0.014674291571112"	"0.291273861139929"	0.362768354328821
"CX2"	"ALKBH3"	"-0.014313792489971"	"0.3032905625004"	0.376025403281039
"CX2"	"INO80D"	"-0.0139044582073362"	"0.317329083965458"	0.391658418948358
"CX2"	"ASCC2"	"-0.0138084090266958"	"0.32068392083487"	0.394024189725356
"CX2"	"POLN"	"-0.0135853927422843"	"0.328562536457418"	0.401902388345235
"CX2"	"BARD1"	"0.0132038678820029"	"0.342329253251607"	0.416880957293068
"CX2"	"CHD1L"	"0.0134326305369567"	"0.355680759493784"	0.431223575669455
"CX2"	"ERCC6"	"-0.0128591375331036"	"0.364602766893919"	0.440093207616449
"CX2"	"RIF1"	"0.0125097948536612"	"0.368304486759911"	0.442611532334279
"CX2"	"USP7"	"-0.0117095916659797"	"0.399730638800266"	0.47828032764748
"CX2"	"POLH"	"-0.0113437445128675"	"0.414619934438428"	0.493938530591866
